tipo_celular,module_size,USP48_MM,USP48_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.181,67.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,624,0.205,85.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.103,16.0,166,10,6.02,2.15 (1.49-2.81),156,93.98,3.49 (3.23-3.75),13.24,3.99
oligodendrocyte progenitor cells 7,4285,0.161,87.0,353,20,5.67,1.74 (1.20-2.28),333,94.33,4.04 (3.86-4.22),37.80,6.28
GABA neurons expressing GLU receptors 22,1069,0.154,42.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.111,33.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200,0.172,44.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,86,0.151,36.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,1653,0.122,46.0,297,4,1.35,2.53 (NA-NA),293,98.65,3.68 (3.47-3.88),2.80,5.56
oligodendrocytes 20,358,0.132,40.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,3052,0.195,90.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.38,8.67
astrocytes 8,771,0.098,40.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708,0.072,26.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,2107,0.183,63.0,358,20,5.59,1.73 (1.16-2.31),338,94.41,4.01 (3.82-4.20),41.14,7.60
connective tissue cells 21,139,0.257,33.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,443,0.145,43.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,122,0.171,24.0,11,1,9.09,NA,10,90.91,3.57 (3.08-4.06),1.49,1.99
da neurons 6,518,0.082,18.0,122,6,4.92,1.15 (0.44-1.85),116,95.08,4.18 (3.80-4.57),2.06,3.56
astrocytes microglia 23,76,0.281,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.164,74.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.169,85.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.129,76.0,161,18,11.18,1.74 (1.20-2.28),143,88.82,3.51 (3.24-3.79),17.58,3.90
oligodendrocytes 3,1003,0.07,20.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.123,17.0,84,3,3.57,2.23 (0.92-3.55),81,96.43,2.71 (2.36-3.06),4.67,3.35
