tipo_celular,module_size,GPR176_MM,GPR176_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.172,55.0,127,8,6.3,1.72 (1.13-2.30),119,93.7,4.02 (3.69-4.35),4.23,5.95
GABA neurons expressing GLU receptors 22,703.0,0.283,93.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247.0,0.118,37.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.282,83.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78),2.20,5.13
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,82.0,0.495,98.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
