tipo_celular,module_size,ERMP1_MM,ERMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.15,56.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.115,48.0,136,3,2.21,3.07 (1.98-4.16),133,97.79,3.21 (2.94-3.49),3.09,5.03
oligodendrocyte progenitor cells 7,4285.0,0.114,22.0,353,18,5.1,1.77 (0.88-2.66),335,94.9,4.04 (3.86-4.22),32.20,6.77
GABA neurons expressing GLU receptors 22,703.0,0.18,46.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,795.0,0.063,6.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,94.0,0.285,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101.0,0.255,99.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,450.0,0.126,22.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,330.0,0.128,29.0,36,1,2.78,1.01 (NA-NA),35,97.22,1.95 (1.59-2.30),4.42,3.09
GABA like neurons 14,3052.0,0.075,7.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.112,47.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.168,71.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.062,18.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.288,50.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,377.0,0.205,82.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,199.0,0.185,65.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,518.0,0.091,28.0,122,12,9.84,1.93 (0.96-2.90),110,90.16,4.29 (3.90-4.68),4.78,3.34
astrocytes microglia 23,161.0,0.331,68.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807.0,0.173,93.0,104,10,9.62,1.45 (0.75-2.16),94,90.38,3.03 (2.74-3.31),12.63,4.63
oligodendrocytes 0,1186.0,0.127,24.0,300,1,0.33,3.70 (NA-NA),299,99.67,3.79 (3.59-4.00),6.96,4.15
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.112,74.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.147,68.0,200,4,2.0,2.62 (1.96-3.29),196,98.0,3.65 (3.38-3.92),4.60,3.44
