tipo_celular,module_size,SRCIN1_MM,SRCIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,400.0,0.244,74.0,24,5,20.83,0.79 (0.17-1.41),19,79.17,2.51 (2.00-3.03),6.52,2.81
GLU like neurons 17,1247.0,0.13,47.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.23,91.0,133,24,18.05,2.59 (1.74-3.43),109,81.95,3.41 (3.08-3.73),4.54,4.08
GABA neurons expressing GABA receptors 13,88.0,0.287,99.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.252,48.0,110,57,51.82,5.00 (4.46-5.55),53,48.18,4.97 (4.18-5.75),4.38,2.61
GABA like neurons 14,1300.0,0.236,63.0,306,77,25.16,4.91 (4.39-5.43),229,74.84,5.17 (4.87-5.48),13.64,4.38
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,236.0,0.676,93.0,82,19,23.17,4.77 (4.18-5.37),63,76.83,5.08 (4.39-5.77),3.99,3.79
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,287.0,0.488,97.0,105,51,48.57,4.81 (4.22-5.40),54,51.43,5.62 (5.03-6.21),4.14,2.83
da neurons 6,398.0,0.14,47.0,138,51,36.96,4.25 (3.68-4.83),87,63.04,5.18 (4.72-5.65),3.13,2.50
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,261.0,0.312,98.0,42,24,57.14,3.44 (2.68-4.20),18,42.86,5.42 (4.35-6.50),2.43,2.06
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.284,77.0,24,11,45.83,7.40 (6.72-8.08),13,54.17,5.20 (4.66-5.75),2.36,2.11
oligodendrocytes 2,131.0,0.372,98.0,20,1,5.0,6.20 (NA-NA),19,95.0,4.40 (3.65-5.15),1.71,3.93
