tipo_celular,module_size,IFT52_MM,IFT52_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.115,59.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08),1.81,4.33
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,27,7.65,2.19 (1.58-2.80),326,92.35,4.05 (3.87-4.24),19.14,7.15
GABA neurons expressing GLU receptors 22,567.0,0.111,12.0,16,5,31.25,2.88 (1.99-3.78),11,68.75,1.47 (0.71-2.22),1.73,4.50
GLU like neurons 17,1247.0,0.131,49.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.091,19.0,133,9,6.77,1.37 (0.70-2.05),124,93.23,3.42 (3.10-3.73),4.26,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.034,10.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090.0,0.199,79.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.063,29.0,66,15,22.73,2.10 (1.28-2.92),51,77.27,3.59 (3.15-4.03),3.43,2.81
oligodendrocyte progenitor cells 12,3303.0,0.047,12.0,276,19,6.88,2.85 (2.20-3.51),257,93.12,3.61 (3.38-3.83),7.76,4.91
oligodendrocytes 10,1277.0,0.036,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,84.0,0.257,39.0,1,1,100.0,NA,0,0.0,NA,1.55,NA
astrocytes 15,458.0,0.062,27.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,78.0,0.184,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.322,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.124,16.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23),9.00,5.25
oligodendrocytes 0,2078.0,0.108,38.0,238,4,1.68,1.79 (0.71-2.87),234,98.32,3.67 (3.45-3.89),10.17,4.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,44.0,0.051,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,1630.0,0.14,46.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
