tipo_celular,module_size,JAM2_MM,JAM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.108,20.0,166,4,2.41,1.51 (0.22-2.80),162,97.59,3.45 (3.20-3.70),2.62,4.60
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,6,1.7,1.46 (0.59-2.33),347,98.3,3.94 (3.76-4.13),14.41,7.95
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.362,88.0,120,21,17.5,4.67 (3.96-5.38),99,82.5,4.59 (4.24-4.95),3.72,3.64
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,218.0,0.118,58.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049.0,0.101,55.0,235,2,0.85,2.25 (0.36-4.14),233,99.15,3.84 (3.61-4.07),2.25,7.66
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.302,60.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,367.0,0.128,40.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.231,17.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,721.0,0.151,48.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.132,78.0,161,4,2.48,0.87 (0.13-1.61),157,97.52,3.35 (3.08-3.61),5.91,5.42
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
