tipo_celular,module_size,PSMD12_MM,PSMD12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.151,50.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,518.0,0.149,46.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.112,10.0,251,6,2.39,4.23 (NA-NA),245,97.61,4.06 (3.83-4.30),5.83,6.16
GABA neurons expressing GLU receptors 22,848.0,0.205,47.0,262,33,12.6,3.02 (2.48-3.56),229,87.4,4.31 (4.05-4.57),7.48,3.62
GLU like neurons 17,380.0,0.191,64.0,39,9,23.08,3.46 (2.95-3.97),30,76.92,2.80 (2.09-3.51),2.22,2.68
da like neurons 11,1220.0,0.293,79.0,410,37,9.02,3.23 (2.81-3.65),373,90.98,4.34 (4.14-4.53),13.09,6.96
GABA neurons expressing GABA receptors 13,266.0,0.199,70.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,385.0,0.129,69.0,275,36,13.09,2.19 (1.70-2.67),239,86.91,4.30 (4.03-4.56),10.37,5.21
oligodendrocytes 20,358.0,0.01,1.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.285,63.0,455,52,11.43,2.51 (2.08-2.95),403,88.57,4.59 (4.40-4.78),18.66,7.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.046,11.0,276,26,9.42,2.58 (2.12-3.04),250,90.58,3.68 (3.44-3.91),15.73,4.01
oligodendrocytes 10,806.0,0.266,73.0,261,12,4.6,2.62 (1.87-3.36),249,95.4,4.41 (4.17-4.65),7.33,6.00
connective tissue cells 21,101.0,0.106,0.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.204,62.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,228.0,0.102,55.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,114.0,0.385,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.114,48.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87),6.40,5.00
microglia 1,214.0,0.138,31.0,227,15,6.61,3.17 (1.87-4.48),212,93.39,4.11 (3.87-4.35),12.78,5.65
oligodendrocytes 3,457.0,0.093,36.0,345,31,8.99,3.57 (3.22-3.92),314,91.01,4.33 (4.11-4.55),12.36,5.03
oligodendrocytes 2,1630.0,0.157,81.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
