tipo_celular,module_size,NCSTN_MM,NCSTN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.101,8.0,164,22,13.41,3.69 (3.37-4.01),142,86.59,4.16 (3.78-4.54),5.00,7.92
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,65.0,0.179,55.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.189,66.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58),1.79,4.13
GABA like neurons 14,2402.0,0.116,13.0,455,54,11.87,2.82 (2.36-3.28),401,88.13,4.58 (4.39-4.77),17.30,7.69
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.062,30.0,276,27,9.78,2.09 (1.69-2.50),249,90.22,3.76 (3.53-3.98),8.74,4.72
oligodendrocytes 10,735.0,0.074,33.0,277,2,0.72,4.88 (4.75-5.01),275,99.28,3.88 (3.64-4.13),2.25,8.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,156.0,0.218,65.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,300.0,0.07,6.0,159,8,5.03,3.96 (3.67-4.26),151,94.97,4.38 (4.06-4.70),4.45,3.69
astrocytes microglia 23,86.0,0.297,39.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA,1.66,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.103,27.0,238,4,1.68,2.22 (0.87-3.56),234,98.32,3.66 (3.44-3.89),4.67,5.03
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.112,81.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,528.0,0.162,25.0,175,41,23.43,3.92 (3.43-4.40),134,76.57,4.54 (4.11-4.98),8.91,3.31
