tipo_celular,module_size,SCCPDH_MM,SCCPDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.121,59.0,136,2,1.47,3.56 (-0.83-7.95),134,98.53,3.20 (2.93-3.47),6.73,4.96
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,18,5.1,1.20 (0.85-1.55),335,94.9,4.08 (3.90-4.26),38.95,6.40
GABA neurons expressing GLU receptors 22,487.0,0.105,8.0,73,3,4.11,1.49 (1.32-1.65),70,95.89,2.82 (2.42-3.21),2.77,7.52
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,101.0,0.15,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,73.0,0.157,45.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.152,62.0,169,13,7.69,2.39 (1.53-3.24),156,92.31,3.55 (3.32-3.77),4.95,5.40
GABA like neurons 14,2402.0,0.205,43.0,455,26,5.71,1.87 (1.34-2.41),429,94.29,4.51 (4.33-4.69),22.19,8.03
astrocytes 8,771.0,0.055,16.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,11,3.99,1.67 (1.33-2.00),265,96.01,3.65 (3.42-3.87),16.63,4.63
oligodendrocytes 10,806.0,0.057,10.0,261,8,3.07,2.48 (1.82-3.14),253,96.93,4.42 (4.18-4.67),7.31,6.03
connective tissue cells 21,111.0,0.35,88.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,458.0,0.079,41.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,87.0,0.143,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.121,49.0,235,13,5.53,2.27 (1.48-3.06),222,94.47,4.06 (3.81-4.31),7.53,4.23
astrocytes microglia 23,86.0,0.313,46.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,1.66
astrocytes 4,1807.0,0.161,80.0,104,10,9.62,1.77 (0.77-2.76),94,90.38,2.99 (2.71-3.27),17.76,4.08
oligodendrocytes 0,117.0,0.094,9.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.132,52.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.279,80.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
