tipo_celular,module_size,TMCC2_MM,TMCC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.067,0.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,487.0,0.23,57.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,637.0,0.093,18.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,408.0,0.215,59.0,25,3,12.0,3.26 (-1.08-7.61),22,88.0,4.85 (3.47-6.23),2.65,2.23
GABA neurons expressing GABA receptors 13,75.0,0.239,88.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.096,10.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.158,53.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,771.0,0.144,55.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.114,54.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.155,54.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,74.0,0.321,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.104,55.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,46.0,0.205,18.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38),NA,5.27
astrocytes 4,1807.0,0.102,3.0,104,9,8.65,1.30 (0.59-2.02),95,91.35,3.02 (2.74-3.30),13.71,4.61
oligodendrocytes 0,1186.0,0.135,33.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.092,48.0,87,8,9.2,1.04 (0.62-1.45),79,90.8,2.75 (2.48-3.03),5.51,4.11
oligodendrocytes 2,528.0,0.085,2.0,175,2,1.14,5.67 (1.90-9.43),173,98.86,4.35 (4.00-4.71),6.98,4.59
