tipo_celular,module_size,BUB3_MM,BUB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.223,84.0,131,4,3.05,3.52 (2.02-5.02),127,96.95,3.06 (2.78-3.34),2.32,4.83
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,39,11.05,2.19 (1.79-2.59),314,88.95,4.16 (3.97-4.34),24.76,5.99
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75.0,0.172,57.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,338.0,0.103,33.0,191,2,1.05,2.15 (1.98-2.31),189,98.95,3.91 (3.68-4.13),7.10,9.18
oligodendrocytes 20,938.0,0.119,46.0,169,7,4.14,2.36 (1.19-3.54),162,95.86,3.54 (3.32-3.76),2.56,5.48
GABA like neurons 14,2402.0,0.197,40.0,455,25,5.49,2.28 (1.72-2.85),430,94.51,4.51 (4.33-4.70),22.26,8.05
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.043,8.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,735.0,0.096,51.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),1.44,8.97
connective tissue cells 21,88.0,0.453,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,51.0,0.243,60.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,307.0,0.059,1.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,110.0,0.41,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.125,73.0,238,7,2.94,2.24 (1.03-3.46),231,97.06,3.67 (3.45-3.89),8.65,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.1,72.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.174,96.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51),3.56,3.59
