tipo_celular,module_size,SNRNP40_MM,SNRNP40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.104,13.0,102,10,9.8,1.89 (1.21-2.58),92,90.2,3.68 (3.30-4.06),5.03,2.82
T cells 18,477.0,0.104,12.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,46,13.03,2.02 (1.60-2.44),307,86.97,4.24 (4.07-4.41),27.02,5.22
GABA neurons expressing GLU receptors 22,703.0,0.12,16.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,380.0,0.131,23.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56),2.61,2.57
da like neurons 11,200.0,0.077,3.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.045,1.0,302,8,2.65,3.52 (1.74-5.29),294,97.35,3.99 (3.76-4.22),9.99,10.67
oligodendrocytes 20,938.0,0.135,54.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76),7.75,5.31
GABA like neurons 14,3052.0,0.113,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,28,10.14,1.84 (1.53-2.14),248,89.86,3.79 (3.57-4.02),14.08,4.10
oligodendrocytes 10,2107.0,0.065,11.0,358,45,12.57,1.88 (1.55-2.21),313,87.43,4.23 (4.05-4.42),31.50,6.31
connective tissue cells 21,73.0,0.447,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.185,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.306,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,61.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90),15.59,4.84
microglia 1,958.0,0.084,11.0,290,10,3.45,3.19 (2.85-3.54),280,96.55,3.84 (3.60-4.08),8.39,4.88
oligodendrocytes 3,854.0,0.07,26.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.114,8.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
