tipo_celular,module_size,USP10_MM,USP10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.176,53.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01),1.84,4.26
T cells 18,610,0.156,55.0,98,37,37.76,2.39 (1.86-2.93),61,62.24,3.64 (3.33-3.96),6.37,2.62
astrocytes 5,1141,0.106,19.0,166,37,22.29,2.61 (2.17-3.05),129,77.71,3.68 (3.39-3.97),6.62,3.96
oligodendrocyte progenitor cells 7,4285,0.146,68.0,353,64,18.13,2.44 (2.06-2.82),289,81.87,4.31 (4.13-4.49),20.76,5.25
GABA neurons expressing GLU receptors 22,823,0.162,40.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1247,0.043,2.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215,0.231,63.0,9,1,11.11,NA,8,88.89,0.85 (0.17-1.52),1.66,5.85
GABA neurons expressing GABA receptors 13,88,0.163,55.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.12,44.0,297,10,3.37,3.41 (2.88-3.93),287,96.63,3.68 (3.47-3.89),6.74,5.48
oligodendrocytes 20,938,0.058,15.0,169,17,10.06,2.65 (2.09-3.20),152,89.94,3.60 (3.37-3.83),9.70,4.88
GABA like neurons 14,3052,0.205,93.0,125,5,4.0,3.27 (2.90-3.64),120,96.0,3.36 (3.02-3.69),3.29,8.83
astrocytes 8,1266,0.057,22.0,66,26,39.39,2.08 (1.60-2.56),40,60.61,4.12 (3.68-4.57),3.82,2.39
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,51,18.48,2.61 (2.20-3.02),225,81.52,3.83 (3.59-4.06),10.61,3.86
oligodendrocytes 10,2107,0.218,74.0,358,67,18.72,2.47 (2.06-2.89),291,81.28,4.29 (4.11-4.47),22.71,6.42
connective tissue cells 21,102,0.251,32.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA,1.33,1.53
astrocytes 15,367,0.129,41.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,116,0.244,82.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,518,0.073,11.0,122,18,14.75,1.86 (1.33-2.40),104,85.25,4.46 (4.07-4.86),3.85,3.42
astrocytes microglia 23,111,0.242,4.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,787,0.164,74.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,1186,0.107,8.0,300,17,5.67,3.97 (3.49-4.45),283,94.33,3.78 (3.56-4.00),4.43,4.14
microglia 1,813,0.139,72.0,79,4,5.06,2.84 (2.40-3.28),75,94.94,3.12 (2.69-3.54),3.77,8.12
oligodendrocytes 3,854,0.064,19.0,76,5,6.58,1.82 (0.74-2.91),71,93.42,2.85 (2.51-3.19),3.67,4.79
oligodendrocytes 2,921,0.119,22.0,200,12,6.0,3.28 (2.46-4.10),188,94.0,3.65 (3.37-3.93),3.97,3.43
