tipo_celular,module_size,LMNA_MM,LMNA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.193,74.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91),2.91,5.07
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,75,21.25,2.59 (2.26-2.92),278,78.75,4.35 (4.16-4.54),17.72,5.46
GABA neurons expressing GLU receptors 22,599.0,0.204,46.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.1,21.0,91,21,23.08,2.14 (1.47-2.81),70,76.92,5.56 (5.12-5.99),3.34,2.97
da like neurons 11,168.0,0.304,83.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.153,36.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,298.0,0.039,8.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.1,13.0,74,6,8.11,1.74 (1.43-2.04),68,91.89,3.02 (2.63-3.41),3.24,11.14
astrocytes 8,577.0,0.118,68.0,83,7,8.43,2.54 (0.54-4.53),76,91.57,3.30 (2.83-3.76),2.10,4.69
oligodendrocyte progenitor cells 12,1049.0,0.045,12.0,235,2,0.85,2.13 (0.49-3.77),233,99.15,3.84 (3.61-4.07),9.99,7.59
oligodendrocytes 10,483.0,0.073,25.0,129,1,0.78,2.97 (NA-NA),128,99.22,3.43 (3.04-3.83),32.21,19.09
connective tissue cells 21,139.0,0.355,83.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1401.0,0.144,88.0,96,14,14.58,3.28 (2.59-3.97),82,85.42,3.68 (3.16-4.20),4.43,3.69
oligodendrocytes 16,158.0,0.143,9.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.38,76.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,514.0,0.206,62.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95),2.87,4.76
oligodendrocytes 0,2078.0,0.136,90.0,238,17,7.14,3.63 (2.72-4.54),221,92.86,3.64 (3.41-3.86),5.66,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.128,82.0,76,4,5.26,3.68 (1.19-6.17),72,94.74,2.72 (2.41-3.04),1.81,4.88
oligodendrocytes 2,1630.0,0.147,60.0,154,2,1.3,2.74 (1.53-3.95),152,98.7,3.25 (2.98-3.52),2.85,3.60
