tipo_celular,module_size,DPYSL5_MM,DPYSL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.202,55.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,203.0,0.283,57.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,637.0,0.146,45.0,91,15,16.48,2.69 (1.89-3.49),76,83.52,5.07 (4.51-5.62),3.49,2.97
da like neurons 11,61.0,0.233,37.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.252,47.0,110,30,27.27,5.02 (4.13-5.92),80,72.73,4.98 (4.48-5.48),4.79,3.05
GABA like neurons 14,2090.0,0.156,51.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.335,90.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.638,87.0,82,17,20.73,4.90 (3.86-5.93),65,79.27,5.02 (4.42-5.61),3.72,3.86
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,153.0,0.43,80.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,307.0,0.143,69.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,261.0,0.34,100.0,42,15,35.71,3.84 (2.54-5.14),27,64.29,4.21 (3.43-4.99),2.25,2.29
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.306,80.0,7,4,57.14,3.09 (0.52-5.67),3,42.86,6.20 (NA-NA),1.49,1.45
oligodendrocytes 2,347.0,0.278,80.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
