tipo_celular,module_size,SPCS1_MM,SPCS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.254,69.0,225,14,6.22,3.06 (2.01-4.12),211,93.78,3.66 (3.41-3.92),6.15,8.02
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.169,53.0,164,14,8.54,4.61 (3.59-5.64),150,91.46,4.02 (3.68-4.37),6.21,7.65
GABA neurons expressing GLU receptors 22,848.0,0.211,50.0,262,16,6.11,2.87 (2.15-3.60),246,93.89,4.28 (4.02-4.53),4.32,4.09
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.32,85.0,410,30,7.32,3.79 (3.13-4.45),380,92.68,4.30 (4.10-4.49),9.19,7.38
GABA neurons expressing GABA receptors 13,417.0,0.127,25.0,213,18,8.45,1.39 (0.82-1.96),195,91.55,4.05 (3.83-4.28),8.26,9.82
endothelial cells 9,916.0,0.197,47.0,302,17,5.63,4.11 (3.10-5.12),285,94.37,3.97 (3.74-4.20),5.70,10.95
oligodendrocytes 20,938.0,0.145,60.0,169,12,7.1,2.44 (1.69-3.20),157,92.9,3.58 (3.36-3.80),4.81,5.41
GABA like neurons 14,2402.0,0.53,91.0,455,37,8.13,2.92 (2.27-3.57),418,91.87,4.52 (4.34-4.71),19.17,7.92
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.065,32.0,276,19,6.88,2.11 (1.54-2.67),257,93.12,3.68 (3.46-3.91),10.45,4.72
oligodendrocytes 10,806.0,0.253,72.0,261,13,4.98,3.47 (2.45-4.49),248,95.02,4.43 (4.18-4.68),6.50,6.04
connective tissue cells 21,101.0,0.273,33.0,116,6,5.17,1.87 (1.45-2.29),110,94.83,4.83 (4.42-5.24),3.54,3.20
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.228,71.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,409.0,0.201,79.0,235,8,3.4,3.12 (1.95-4.28),227,96.6,4.02 (3.76-4.27),7.38,4.31
astrocytes microglia 23,126.0,0.318,46.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.166,47.0,252,28,11.11,2.36 (1.67-3.06),224,88.89,4.39 (4.15-4.63),9.06,8.10
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.11,47.0,345,22,6.38,4.05 (3.31-4.78),323,93.62,4.29 (4.08-4.51),8.05,5.53
oligodendrocytes 2,526.0,0.299,60.0,213,3,1.41,5.01 (2.87-7.16),210,98.59,3.96 (3.68-4.24),2.93,8.01
