tipo_celular,module_size,RAD52_MM,RAD52_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.177,50.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.092,24.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),4.60,4.30
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,36,10.2,2.03 (1.59-2.46),317,89.8,4.17 (3.99-4.35),28.29,5.77
GABA neurons expressing GLU receptors 22,487.0,0.077,3.0,73,1,1.37,1.55 (NA-NA),72,98.63,2.77 (2.39-3.16),3.80,7.38
GLU like neurons 17,795.0,0.143,56.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,853.0,0.126,47.0,133,22,16.54,1.47 (1.12-1.83),111,83.46,3.69 (3.36-4.01),6.06,3.79
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.287,91.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73),4.66,2.92
GABA like neurons 14,2090.0,0.149,46.0,74,7,9.46,2.57 (1.58-3.56),67,90.54,2.99 (2.58-3.39),2.67,11.32
astrocytes 8,260.0,0.125,53.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.088,61.0,276,28,10.14,1.90 (1.57-2.24),248,89.86,3.78 (3.56-4.01),13.24,4.19
oligodendrocytes 10,2107.0,0.098,28.0,358,39,10.89,1.87 (1.49-2.25),319,89.11,4.20 (4.02-4.39),30.62,6.89
connective tissue cells 21,78.0,0.4,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.15,49.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,69.0,0.202,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.312,46.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,787.0,0.166,78.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.131,83.0,238,6,2.52,2.61 (1.31-3.92),232,97.48,3.67 (3.44-3.89),7.72,4.95
microglia 1,1615.0,0.082,12.0,161,36,22.36,2.10 (1.62-2.58),125,77.64,3.71 (3.44-3.99),11.54,3.67
oligodendrocytes 3,639.0,0.046,5.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,1630.0,0.166,92.0,154,3,1.95,3.40 (3.17-3.63),151,98.05,3.24 (2.97-3.51),2.46,3.61
