tipo_celular,module_size,RNF220_MM,RNF220_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.753,100.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.676,98.0,68,4,5.88,0.90 (0.75-1.04),64,94.12,4.58 (4.05-5.12),2.27,3.38
astrocytes 5,165,0.425,87.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01),1.62,2.98
oligodendrocyte progenitor cells 7,229,0.703,100.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.488,96.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.653,100.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,408,0.751,100.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,288,0.489,97.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,450,0.504,87.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.351,62.0,110,6,5.45,1.31 (0.80-1.82),104,94.55,5.24 (4.83-5.66),3.65,3.52
GABA like neurons 14,2402,0.04,1.0,455,23,5.05,1.79 (1.16-2.41),432,94.95,4.53 (4.36-4.71),22.31,8.12
astrocytes 8,771,0.775,99.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.753,100.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204,0.644,99.0,92,1,1.09,NA,91,98.91,5.70 (5.23-6.17),2.35,3.74
connective tissue cells 21,114,0.438,93.0,19,4,21.05,3.26 (2.78-3.73),15,78.95,5.40 (4.68-6.13),1.49,2.29
astrocytes 15,458,0.469,97.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.113,5.0,105,9,8.57,3.36 (1.74-4.97),96,91.43,5.33 (4.90-5.75),2.33,3.58
da neurons 6,398,0.461,96.0,138,18,13.04,2.26 (1.66-2.87),120,86.96,5.29 (4.94-5.64),2.55,2.76
astrocytes microglia 23,54,0.357,57.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102,0.364,84.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,187,0.133,27.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,127,0.549,96.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,242,0.188,74.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,237,0.342,89.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
