tipo_celular,module_size,SQLE_MM,SQLE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,28,7.93,1.73 (1.32-2.14),325,92.07,4.14 (3.96-4.32),23.31,6.75
GABA neurons expressing GLU receptors 22,487.0,0.112,11.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.179,50.0,410,16,3.9,2.90 (2.38-3.43),394,96.1,4.32 (4.13-4.52),7.40,7.52
GABA neurons expressing GABA receptors 13,80.0,0.142,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.12,29.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.335,72.0,455,24,5.27,2.20 (1.55-2.85),431,94.73,4.51 (4.33-4.69),22.71,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.082,42.0,235,6,2.55,3.50 (2.61-4.39),229,97.45,3.83 (3.60-4.07),5.34,7.67
oligodendrocytes 10,735.0,0.129,68.0,277,2,0.72,3.95 (2.92-4.98),275,99.28,3.89 (3.65-4.14),2.39,8.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,116.0,0.132,7.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,518.0,0.083,19.0,122,21,17.21,2.20 (1.67-2.74),101,82.79,4.51 (4.10-4.92),5.66,3.03
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.13,27.0,252,22,8.73,1.88 (1.29-2.47),230,91.27,4.38 (4.14-4.62),9.78,8.06
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.113,82.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,528.0,0.258,76.0,175,6,3.43,3.35 (2.54-4.16),169,96.57,4.43 (4.07-4.80),9.38,4.45
