tipo_celular,module_size,SLAIN1_MM,SLAIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.346,84.0,68,12,17.65,3.57 (2.32-4.81),56,82.35,4.59 (3.97-5.20),2.36,3.52
astrocytes 5,165.0,0.404,85.0,51,2,3.92,5.72 (4.51-6.93),49,96.08,5.33 (4.63-6.03),2.05,2.99
oligodendrocyte progenitor cells 7,229.0,0.102,12.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63),2.73,5.42
GABA neurons expressing GLU receptors 22,567.0,0.265,75.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41),1.93,4.02
GLU like neurons 17,637.0,0.434,94.0,91,17,18.68,2.85 (1.86-3.84),74,81.32,5.07 (4.52-5.61),3.66,2.92
da like neurons 11,408.0,0.441,88.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.586,92.0,74,8,10.81,4.36 (3.27-5.44),66,89.19,5.62 (5.02-6.22),2.66,3.75
oligodendrocytes 20,275.0,0.188,44.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.113,28.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67),4.32,8.65
astrocytes 8,771.0,0.675,97.0,48,2,4.17,3.56 (-1.88-9.00),46,95.83,4.48 (3.72-5.24),1.47,3.22
oligodendrocyte progenitor cells 12,708.0,0.199,77.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,204.0,0.491,73.0,92,1,1.09,NA,91,98.91,5.70 (5.23-6.17),1.30,3.75
connective tissue cells 21,250.0,0.717,94.0,117,5,4.27,3.33 (1.94-4.72),112,95.73,5.50 (5.10-5.90),2.84,3.78
astrocytes 15,458.0,0.315,93.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,199.0,0.121,10.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,54.0,0.332,46.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102.0,0.259,71.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44),2.94,3.17
oligodendrocytes 0,187.0,0.082,3.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21),1.73,2.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.091,47.0,127,4,3.15,5.93 (4.48-7.38),123,96.85,3.06 (2.74-3.39),2.82,4.28
oligodendrocytes 2,347.0,0.194,50.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
