tipo_celular,module_size,GANC_MM,GANC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.183,26.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610.0,0.163,59.0,98,5,5.1,0.99 (0.43-1.54),93,94.9,3.25 (2.93-3.56),3.65,4.06
astrocytes 5,1141.0,0.133,52.0,166,5,3.01,1.10 (0.35-1.85),161,96.99,3.48 (3.23-3.73),3.83,4.57
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,6,1.7,1.24 (0.57-1.92),347,98.3,3.95 (3.76-4.13),29.69,7.69
GABA neurons expressing GLU receptors 22,567.0,0.317,83.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,685.0,0.073,12.0,135,4,2.96,1.18 (0.67-1.70),131,97.04,3.26 (2.95-3.57),7.16,3.65
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.133,25.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,279.0,0.631,99.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052.0,0.091,13.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.078,30.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.132,59.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.149,72.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,100.0,0.155,6.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,1768.0,0.092,55.0,105,6,5.71,1.24 (0.57-1.92),99,94.29,3.34 (3.00-3.68),8.24,3.72
oligodendrocytes 16,156.0,0.241,79.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.244,22.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21),2.40,1.64
astrocytes 4,721.0,0.152,51.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186.0,0.136,34.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615.0,0.153,91.0,161,5,3.11,1.10 (0.35-1.85),156,96.89,3.36 (3.09-3.63),9.59,5.30
oligodendrocytes 3,854.0,0.097,58.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.136,47.0,200,1,0.5,1.96 (NA-NA),199,99.5,3.63 (3.37-3.90),7.22,3.44
