tipo_celular,module_size,CRADD_MM,CRADD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.175,26.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,610.0,0.206,83.0,98,21,21.43,1.78 (1.24-2.33),77,78.57,3.51 (3.19-3.83),9.04,2.67
astrocytes 5,222.0,0.27,76.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08),1.55,2.67
oligodendrocyte progenitor cells 7,436.0,0.068,12.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,567.0,0.277,78.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,489.0,0.125,40.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,265.0,0.309,89.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.214,93.0,297,14,4.71,3.71 (3.39-4.03),283,95.29,3.67 (3.46-3.89),5.43,5.52
oligodendrocytes 20,676.0,0.401,67.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,3052.0,0.162,70.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68),4.61,8.65
astrocytes 8,279.0,0.287,54.0,78,12,15.38,2.54 (2.15-2.93),66,84.62,4.70 (4.27-5.14),2.70,2.71
oligodendrocyte progenitor cells 12,153.0,0.391,45.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,130.0,0.56,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,118.0,0.254,25.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,418.0,0.363,80.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,153.0,0.261,21.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.223,21.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255.0,0.204,69.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186.0,0.095,4.0,300,14,4.67,3.72 (3.25-4.20),286,95.33,3.80 (3.58-4.01),4.07,4.16
microglia 1,1615.0,0.128,75.0,161,23,14.29,1.81 (1.28-2.35),138,85.71,3.56 (3.29-3.84),13.75,4.05
oligodendrocytes 3,44.0,0.242,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,407.0,0.169,64.0,122,23,18.85,1.72 (1.26-2.18),99,81.15,3.84 (3.41-4.26),3.76,2.45
