tipo_celular,module_size,BAIAP2L1_MM,BAIAP2L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.339,67.0,98,14,14.29,2.49 (1.65-3.34),84,85.71,3.32 (2.80-3.84),7.03,14.53
T cells 18,506.0,0.441,90.0,225,25,11.11,3.05 (2.39-3.71),200,88.89,3.68 (3.42-3.95),13.21,7.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.287,89.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80.0,0.188,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.424,87.0,302,8,2.65,2.82 (1.72-3.92),294,97.35,4.02 (3.80-4.25),7.66,10.73
oligodendrocytes 20,275.0,0.133,23.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.288,91.0,235,9,3.83,3.18 (2.17-4.20),226,96.17,3.84 (3.60-4.08),12.26,7.43
oligodendrocytes 10,483.0,0.37,88.0,129,6,4.65,3.94 (3.43-4.45),123,95.35,3.40 (2.99-3.81),7.11,19.78
connective tissue cells 21,111.0,0.363,85.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.21,60.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,729.0,0.203,73.0,182,4,2.2,2.22 (1.48-2.95),178,97.8,3.68 (3.42-3.93),4.19,8.62
astrocytes microglia 23,137.0,0.379,56.0,188,19,10.11,2.30 (1.69-2.92),169,89.89,4.66 (4.31-5.01),4.87,7.40
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.202,66.0,252,26,10.32,2.20 (1.58-2.82),226,89.68,4.33 (4.08-4.57),17.00,7.20
microglia 1,406.0,0.472,86.0,278,1,0.36,2.92 (NA-NA),277,99.64,4.37 (4.10-4.64),1.82,6.75
oligodendrocytes 3,303.0,0.178,66.0,154,1,0.65,4.70 (NA-NA),153,99.35,3.61 (3.29-3.93),17.00,11.81
oligodendrocytes 2,526.0,0.246,45.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
