tipo_celular,module_size,PIEZO1_MM,PIEZO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.182,35.0,98,4,4.08,2.11 (0.69-3.53),94,95.92,3.28 (2.79-3.77),2.71,13.91
T cells 18,349.0,0.045,1.0,68,13,19.12,2.75 (1.78-3.71),55,80.88,4.91 (4.33-5.49),2.97,3.39
astrocytes 5,423.0,0.075,1.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,15,4.25,1.28 (0.80-1.77),338,95.75,4.04 (3.86-4.22),30.84,7.05
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.123,19.0,120,8,6.67,2.41 (2.05-2.77),112,93.33,4.79 (4.47-5.10),3.65,3.65
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.058,33.0,89,1,1.12,3.55 (NA-NA),88,98.88,2.75 (2.39-3.10),1.98,6.09
oligodendrocyte progenitor cells 12,218.0,0.048,16.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,152.0,0.239,40.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,208.0,0.045,23.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.247,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.149,28.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.098,26.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
