tipo_celular,module_size,DNMT1_MM,DNMT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.216,89.0,71,5,7.04,1.41 (0.77-2.05),66,92.96,2.73 (2.30-3.17),1.78,3.71
T cells 18,624.0,0.149,47.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,57,16.15,2.17 (1.86-2.48),296,83.85,4.33 (4.15-4.51),20.42,5.69
GABA neurons expressing GLU receptors 22,599.0,0.178,31.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,380.0,0.222,82.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,853.0,0.117,39.0,133,51,38.35,2.34 (2.00-2.69),82,61.65,3.98 (3.57-4.39),5.69,3.21
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.04,1.0,275,60,21.82,2.58 (2.21-2.95),215,78.18,4.57 (4.29-4.85),9.76,4.80
oligodendrocytes 20,348.0,0.051,23.0,33,5,15.15,3.56 (2.43-4.70),28,84.85,2.61 (2.08-3.13),2.54,3.53
GABA like neurons 14,2402.0,0.133,19.0,455,19,4.18,1.35 (0.92-1.77),436,95.82,4.53 (4.35-4.70),20.46,8.33
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.04,9.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,483.0,0.149,61.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,116.0,0.471,99.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,151.0,0.246,83.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.398,88.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.125,30.0,127,16,12.6,2.38 (1.91-2.86),111,87.4,3.22 (2.72-3.71),3.24,6.72
microglia 1,958.0,0.09,18.0,290,15,5.17,2.78 (2.03-3.53),275,94.83,3.89 (3.65-4.12),5.85,4.95
oligodendrocytes 3,357.0,0.086,43.0,127,6,4.72,3.86 (2.36-5.35),121,95.28,3.10 (2.76-3.44),5.52,4.17
oligodendrocytes 2,1630.0,0.149,65.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52),1.67,3.62
