tipo_celular,module_size,EFTUD2_MM,EFTUD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.244,64.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610.0,0.074,4.0,98,30,30.61,1.64 (1.26-2.01),68,69.39,3.81 (3.51-4.11),7.29,2.60
astrocytes 5,1656.0,0.097,23.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59),6.50,4.88
oligodendrocyte progenitor cells 7,4285.0,0.12,28.0,353,47,13.31,2.03 (1.62-2.44),306,86.69,4.25 (4.08-4.42),26.89,5.17
GABA neurons expressing GLU receptors 22,487.0,0.277,71.0,73,5,6.85,1.64 (1.24-2.04),68,93.15,2.85 (2.44-3.26),4.88,7.51
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.105,31.0,133,32,24.06,1.84 (1.48-2.20),101,75.94,3.79 (3.44-4.13),5.13,3.85
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.106,17.0,74,8,10.81,1.97 (1.61-2.33),66,89.19,3.04 (2.64-3.45),3.76,11.32
astrocytes 8,1266.0,0.045,10.0,66,13,19.7,1.63 (0.95-2.31),53,80.3,3.70 (3.28-4.11),4.90,2.47
oligodendrocyte progenitor cells 12,708.0,0.101,46.0,32,7,21.88,0.94 (-0.08-1.95),25,78.12,3.87 (3.06-4.69),3.79,2.26
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.102,3.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,338.0,0.187,75.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20),1.93,6.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.095,16.0,159,3,1.89,NA,156,98.11,4.36 (4.06-4.67),1.82,3.77
astrocytes microglia 23,127.0,0.313,50.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807.0,0.123,15.0,104,32,30.77,1.74 (1.44-2.04),72,69.23,3.37 (3.05-3.69),10.16,3.28
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.073,4.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
