tipo_celular,module_size,CCDC91_MM,CCDC91_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.241,80.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,388,0.242,84.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.195,99.0,166,10,6.02,2.25 (1.29-3.22),156,93.98,3.47 (3.21-3.73),12.35,4.05
oligodendrocyte progenitor cells 7,448,0.12,32.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,714,0.236,76.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,380,0.13,22.0,39,5,12.82,4.07 (2.43-5.72),34,87.18,2.79 (2.22-3.36),2.67,2.55
da like neurons 11,265,0.443,100.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84),1.50,1.84
GABA neurons expressing GABA receptors 13,80,0.164,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653,0.184,85.0,297,4,1.35,5.52 (4.17-6.87),293,98.65,3.65 (3.45-3.85),4.15,5.54
oligodendrocytes 20,938,0.16,66.0,169,5,2.96,2.56 (1.10-4.01),164,97.04,3.52 (3.30-3.74),4.00,5.41
GABA like neurons 14,1300,0.146,21.0,306,6,1.96,2.03 (1.21-2.85),300,98.04,5.18 (4.92-5.44),1.99,6.80
astrocytes 8,260,0.266,95.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66),3.04,1.77
oligodendrocyte progenitor cells 12,138,0.425,31.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.288,88.0,358,24,6.7,2.58 (1.81-3.35),334,93.3,3.98 (3.79-4.17),33.71,7.73
connective tissue cells 21,84,0.212,27.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1401,0.113,72.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,90,0.257,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.084,28.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,78,0.126,2.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,752,0.198,97.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,309,0.181,81.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615,0.155,91.0,161,17,10.56,1.74 (1.16-2.33),144,89.44,3.50 (3.22-3.77),16.71,4.10
oligodendrocytes 3,639,0.169,87.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804,0.2,89.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
