tipo_celular,module_size,ZFYVE27_MM,ZFYVE27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.234,93.0,98,21,21.43,2.05 (1.49-2.62),77,78.57,3.45 (3.11-3.79),9.00,2.68
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,1069.0,0.08,5.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.219,81.0,39,3,7.69,2.47 (1.34-3.59),36,92.31,3.01 (2.42-3.61),2.26,2.60
da like neurons 11,172.0,0.066,0.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,75.0,0.138,33.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.219,58.0,12,1,8.33,6.09 (NA-NA),11,91.67,2.01 (0.48-3.54),1.72,4.46
GABA like neurons 14,2402.0,0.182,35.0,455,38,8.35,2.79 (2.34-3.23),417,91.65,4.55 (4.35-4.74),19.67,7.85
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.008,0.0,261,51,19.54,4.63 (4.04-5.23),210,80.46,4.29 (4.03-4.55),5.46,6.21
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,94.0,0.285,90.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14),1.76,1.89
da neurons 6,518.0,0.105,45.0,122,44,36.07,3.71 (2.95-4.47),78,63.93,4.19 (3.79-4.58),4.54,2.89
astrocytes microglia 23,161.0,0.37,87.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.095,14.0,238,5,2.1,2.28 (1.05-3.51),233,97.9,3.67 (3.45-3.89),6.35,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.075,40.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,1630.0,0.136,37.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
