tipo_celular,module_size,SAT1_MM,SAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.117,12.0,140,6,4.29,3.58 (2.71-4.45),134,95.71,4.61 (4.32-4.90),5.40,3.46
T cells 18,282.0,0.135,37.0,241,2,0.83,2.33 (2.22-2.45),239,99.17,4.08 (3.82-4.33),1.88,4.36
astrocytes 5,423.0,0.18,69.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,666.0,0.269,89.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,599.0,0.46,99.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.332,94.0,135,3,2.22,0.90 (0.45-1.34),132,97.78,3.25 (2.95-3.56),3.30,3.76
da like neurons 11,168.0,0.079,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.3,82.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70),3.23,4.34
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.191,38.0,455,5,1.1,0.78 (0.43-1.13),450,98.9,4.40 (4.21-4.58),33.72,8.56
astrocytes 8,577.0,0.16,83.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,1049.0,0.066,30.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,69.0,0.259,30.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1768.0,0.149,91.0,105,7,6.67,1.43 (0.71-2.16),98,93.33,3.35 (3.01-3.69),5.85,3.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.48,88.0,120,5,4.17,1.50 (0.37-2.62),115,95.83,3.73 (3.43-4.02),5.47,2.68
astrocytes 4,514.0,0.294,85.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.241,71.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
