tipo_celular,module_size,CDC16_MM,CDC16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.15,42.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,610.0,0.193,76.0,98,35,35.71,2.25 (1.80-2.69),63,64.29,3.69 (3.33-4.06),6.63,2.59
astrocytes 5,1656.0,0.122,61.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48),3.06,5.03
oligodendrocyte progenitor cells 7,4285.0,0.19,100.0,353,56,15.86,2.59 (2.21-2.98),297,84.14,4.20 (4.01-4.39),23.02,5.24
GABA neurons expressing GLU receptors 22,714.0,0.145,29.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,1316.0,0.105,33.0,101,4,3.96,3.66 (2.84-4.48),97,96.04,3.02 (2.66-3.39),3.15,3.05
da like neurons 11,408.0,0.053,2.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.097,24.0,297,24,8.08,3.98 (3.67-4.30),273,91.92,3.64 (3.42-3.86),6.96,5.39
oligodendrocytes 20,221.0,0.018,1.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.16,67.0,125,7,5.6,3.79 (2.99-4.60),118,94.4,3.33 (3.00-3.67),5.01,8.83
astrocytes 8,218.0,0.122,59.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,45,16.3,2.83 (2.42-3.23),231,83.7,3.72 (3.47-3.97),12.04,3.76
oligodendrocytes 10,1277.0,0.024,2.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,103.0,0.254,33.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768.0,0.039,6.0,105,30,28.57,2.57 (2.11-3.04),75,71.43,3.50 (3.08-3.92),7.04,2.75
oligodendrocytes 16,64.0,0.374,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.054,1.0,138,16,11.59,2.30 (1.58-3.02),122,88.41,5.22 (4.87-5.58),2.81,2.72
astrocytes microglia 23,109.0,0.245,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.166,75.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.131,83.0,238,14,5.88,3.58 (2.77-4.39),224,94.12,3.64 (3.41-3.87),6.54,4.93
microglia 1,1615.0,0.108,48.0,161,42,26.09,2.48 (2.00-2.95),119,73.91,3.62 (3.32-3.92),10.99,3.47
oligodendrocytes 3,639.0,0.046,5.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,921.0,0.136,48.0,200,5,2.5,3.32 (2.24-4.41),195,97.5,3.63 (3.36-3.90),5.95,3.40
