tipo_celular,module_size,TRERF1_MM,TRERF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.18,32.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,388.0,0.117,29.0,84,9,10.71,2.55 (2.24-2.86),75,89.29,3.03 (2.66-3.39),2.19,4.58
astrocytes 5,156.0,0.105,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.09,23.0,219,1,0.46,5.64 (NA-NA),218,99.54,5.21 (4.92-5.50),1.72,4.62
GABA neurons expressing GLU receptors 22,1069.0,0.255,94.0,37,6,16.22,2.19 (1.75-2.64),31,83.78,2.15 (1.61-2.69),2.22,3.27
GLU like neurons 17,489.0,0.23,85.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,97.0,0.365,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.34,95.0,306,14,4.58,2.26 (1.64-2.89),292,95.42,5.30 (5.04-5.55),4.59,6.81
astrocytes 8,262.0,0.176,68.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,411.0,0.084,43.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.358,78.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,458.0,0.015,1.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.222,8.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,251.0,0.144,35.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.109,49.0,161,60,37.27,2.24 (1.95-2.53),101,62.73,4.13 (3.82-4.44),8.86,3.40
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
