tipo_celular,module_size,SEMA3E_MM,SEMA3E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.126,42.0,166,4,2.41,1.51 (0.22-2.80),162,97.59,3.45 (3.20-3.70),2.62,4.60
oligodendrocyte progenitor cells 7,448.0,0.095,16.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,203.0,0.184,17.0,12,2,16.67,8.28 (NA-NA),10,83.33,1.79 (0.84-2.75),1.84,4.19
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,109.0,0.325,80.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.062,3.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.195,78.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.298,56.0,37,15,40.54,4.02 (3.14-4.90),22,59.46,4.94 (4.23-5.66),2.76,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.107,69.0,105,7,6.67,1.64 (0.93-2.34),98,93.33,3.33 (2.99-3.68),3.89,3.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.149,81.0,122,17,13.93,5.33 (3.82-6.83),105,86.07,3.75 (3.39-4.11),3.06,3.55
astrocytes microglia 23,57.0,0.358,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,171.0,0.138,25.0,22,3,13.64,4.95 (2.58-7.32),19,86.36,4.45 (3.42-5.49),2.06,2.01
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
