tipo_celular,module_size,LETMD1_MM,LETMD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.116,21.0,71,3,4.23,1.39 (0.20-2.59),68,95.77,2.69 (2.26-3.11),1.84,3.65
T cells 18,624.0,0.098,12.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.106,46.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285.0,0.087,4.0,353,24,6.8,1.68 (1.24-2.13),329,93.2,4.10 (3.92-4.28),31.65,6.34
GABA neurons expressing GLU receptors 22,714.0,0.171,45.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,1247.0,0.069,9.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.05,1.0,133,14,10.53,1.61 (1.02-2.20),119,89.47,3.49 (3.16-3.81),5.00,4.06
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.329,91.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26),5.35,2.93
GABA like neurons 14,3052.0,0.106,22.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.07,38.0,66,21,31.82,1.81 (1.28-2.34),45,68.18,4.05 (3.66-4.44),3.88,2.52
oligodendrocyte progenitor cells 12,708.0,0.054,18.0,32,7,21.88,0.80 (0.32-1.28),25,78.12,4.06 (3.26-4.86),4.07,2.19
oligodendrocytes 10,2107.0,0.097,27.0,358,25,6.98,1.57 (1.14-2.01),333,93.02,4.10 (3.91-4.28),32.66,7.73
connective tissue cells 21,95.0,0.307,63.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,261.0,0.139,44.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,91.0,0.273,92.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.286,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.147,42.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39),2.53,6.20
oligodendrocytes 0,479.0,0.09,3.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.079,9.0,161,18,11.18,1.52 (1.02-2.03),143,88.82,3.55 (3.28-3.82),16.47,4.04
oligodendrocytes 3,639.0,0.052,9.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,1630.0,0.128,24.0,154,2,1.3,3.11 (0.58-5.64),152,98.7,3.25 (2.98-3.51),3.75,3.59
