tipo_celular,module_size,BCL2L1_MM,BCL2L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.182,63.0,97,3,3.09,3.67 (1.48-5.86),94,96.91,3.03 (2.63-3.43),3.99,4.93
T cells 18,727,0.1,17.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932,0.135,81.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.155,79.0,353,48,13.6,2.67 (2.17-3.18),305,86.4,4.13 (3.95-4.32),15.95,6.82
GABA neurons expressing GLU receptors 22,567,0.285,78.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41),1.93,4.02
GLU like neurons 17,637,0.118,32.0,91,16,17.58,1.71 (0.96-2.45),75,82.42,5.35 (4.92-5.79),3.72,2.92
da like neurons 11,408,0.146,42.0,25,8,32.0,1.70 (0.64-2.75),17,68.0,6.56 (5.46-7.65),2.14,2.34
GABA neurons expressing GABA receptors 13,288,0.113,16.0,93,7,7.53,3.05 (0.96-5.13),86,92.47,5.38 (4.90-5.85),2.93,4.03
endothelial cells 9,412,0.2,59.0,141,10,7.09,3.16 (1.86-4.45),131,92.91,2.94 (2.71-3.18),3.69,7.06
oligodendrocytes 20,275,0.14,26.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2090,0.16,55.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266,0.061,27.0,66,23,34.85,2.11 (1.51-2.72),43,65.15,3.88 (3.43-4.32),3.33,2.75
oligodendrocyte progenitor cells 12,708,0.162,70.0,25,4,16.0,3.60 (0.78-6.41),21,84.0,2.70 (1.66-3.73),2.42,2.56
oligodendrocytes 10,2107,0.032,2.0,358,45,12.57,2.59 (2.03-3.15),313,87.43,4.10 (3.91-4.29),16.20,8.51
connective tissue cells 21,93,0.272,48.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401,0.053,19.0,96,11,11.46,3.39 (2.32-4.46),85,88.54,3.65 (3.15-4.14),4.94,3.65
oligodendrocytes 16,85,0.171,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.109,34.0,124,4,3.23,2.15 (0.15-4.15),120,96.77,4.25 (3.86-4.65),2.48,3.05
astrocytes microglia 23,42,0.268,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.164,75.0,61,4,6.56,4.29 (1.39-7.18),57,93.44,2.87 (2.48-3.25),2.43,6.27
oligodendrocytes 0,613,0.173,75.0,127,9,7.09,2.97 (2.46-3.48),118,92.91,3.06 (2.61-3.51),3.38,6.50
microglia 1,346,0.16,57.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,681,0.121,72.0,87,19,21.84,2.22 (1.63-2.80),68,78.16,2.69 (2.39-2.99),3.99,4.31
oligodendrocytes 2,407,0.179,72.0,122,27,22.13,2.66 (1.89-3.43),95,77.87,3.59 (3.16-4.03),2.80,2.67
