tipo_celular,module_size,PTRH2_MM,PTRH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.258,72.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.108,11.0,164,3,1.83,1.94 (1.30-2.58),161,98.17,4.14 (3.81-4.47),6.19,7.55
GABA neurons expressing GLU receptors 22,599.0,0.135,14.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.253,77.0,36,8,22.22,2.05 (1.46-2.63),28,77.78,1.88 (1.46-2.30),2.03,3.44
GABA like neurons 14,2402.0,0.144,23.0,455,18,3.96,1.44 (0.92-1.97),437,96.04,4.51 (4.33-4.69),29.05,8.00
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218.0,0.09,31.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107.0,0.096,27.0,358,35,9.78,2.02 (1.54-2.50),323,90.22,4.14 (3.96-4.33),22.53,8.06
connective tissue cells 21,145.0,0.468,99.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.176,23.0,102,12,11.76,1.43 (1.09-1.77),90,88.24,3.67 (3.34-3.99),3.93,8.16
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.29,35.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,86.0,0.101,10.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,813.0,0.095,22.0,79,5,6.33,4.02 (2.60-5.44),74,93.67,3.03 (2.62-3.45),4.12,8.16
oligodendrocytes 3,1003.0,0.061,13.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.145,56.0,154,3,1.95,3.03 (0.94-5.13),151,98.05,3.25 (2.98-3.52),3.26,3.60
