tipo_celular,module_size,TUFM_MM,TUFM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.278,84.0,241,6,2.49,4.02 (2.58-5.46),235,97.51,4.06 (3.80-4.31),5.66,4.31
astrocytes 5,328.0,0.149,41.0,128,2,1.56,2.68 (2.52-2.84),126,98.44,3.59 (3.24-3.94),9.39,6.72
oligodendrocyte progenitor cells 7,628.0,0.2,69.0,164,5,3.05,2.81 (1.71-3.91),159,96.95,4.14 (3.81-4.47),6.92,7.55
GABA neurons expressing GLU receptors 22,400.0,0.274,85.0,24,13,54.17,1.39 (0.90-1.88),11,45.83,3.06 (2.44-3.68),4.57,2.42
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.311,83.0,410,23,5.61,2.90 (2.38-3.42),387,94.39,4.34 (4.15-4.53),19.09,6.83
GABA neurons expressing GABA receptors 13,357.0,0.127,31.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,916.0,0.232,57.0,302,16,5.3,3.01 (2.33-3.69),286,94.7,4.06 (3.82-4.29),14.40,10.44
oligodendrocytes 20,271.0,0.176,53.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.434,83.0,455,39,8.57,2.02 (1.63-2.41),416,91.43,4.62 (4.44-4.80),23.74,7.44
astrocytes 8,520.0,0.197,69.0,288,23,7.99,2.82 (2.27-3.36),265,92.01,4.30 (4.10-4.50),8.97,4.31
oligodendrocyte progenitor cells 12,1049.0,0.134,70.0,235,17,7.23,3.23 (2.62-3.85),218,92.77,3.87 (3.62-4.11),10.80,7.37
oligodendrocytes 10,735.0,0.233,94.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14),4.02,8.98
connective tissue cells 21,125.0,0.494,100.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,418.0,0.036,16.0,54,2,3.7,1.79 (0.82-2.75),52,96.3,3.76 (3.32-4.20),3.07,3.01
oligodendrocytes 16,313.0,0.19,37.0,291,8,2.75,3.23 (1.78-4.69),283,97.25,4.36 (4.13-4.58),4.06,3.81
da neurons 6,409.0,0.248,87.0,235,21,8.94,2.76 (2.20-3.31),214,91.06,4.13 (3.87-4.39),6.56,4.20
astrocytes microglia 23,111.0,0.365,73.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,208.0,0.167,34.0,173,1,0.58,2.76 (NA-NA),172,99.42,3.81 (3.50-4.11),11.54,5.59
oligodendrocytes 0,546.0,0.176,54.0,252,40,15.87,2.10 (1.68-2.52),212,84.13,4.56 (4.32-4.80),14.42,7.04
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.168,62.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.63 (3.31-3.95),50.87,11.58
oligodendrocytes 2,526.0,0.299,59.0,213,5,2.35,3.76 (2.57-4.95),208,97.65,3.99 (3.71-4.27),8.41,7.93
