tipo_celular,module_size,AGO1_MM,AGO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.223,59.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610.0,0.144,44.0,98,44,44.9,1.97 (1.65-2.30),54,55.1,4.07 (3.75-4.39),5.69,2.69
astrocytes 5,1656.0,0.125,66.0,136,11,8.09,2.33 (1.58-3.07),125,91.91,3.30 (3.01-3.58),6.29,4.87
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,89,25.21,2.48 (2.19-2.77),264,74.79,4.47 (4.29-4.65),16.34,5.27
GABA neurons expressing GLU receptors 22,703.0,0.102,10.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,300.0,0.141,15.0,16,7,43.75,2.38 (1.62-3.14),9,56.25,1.86 (0.45-3.27),2.01,2.83
da like neurons 11,200.0,0.135,25.0,8,4,50.0,NA,4,50.0,NA,1.65,1.59
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.037,7.0,169,15,8.88,2.79 (2.00-3.58),154,91.12,3.56 (3.33-3.78),6.46,5.26
GABA like neurons 14,2090.0,0.153,50.0,74,14,18.92,2.23 (2.00-2.47),60,81.08,3.14 (2.68-3.60),3.18,12.21
astrocytes 8,218.0,0.026,3.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,67,24.28,2.39 (2.10-2.68),209,75.72,4.00 (3.75-4.25),8.10,4.15
oligodendrocytes 10,2107.0,0.046,5.0,358,93,25.98,2.39 (2.11-2.66),265,74.02,4.56 (4.38-4.74),20.51,5.60
connective tissue cells 21,139.0,0.327,68.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73),1.31,2.20
astrocytes 15,1768.0,0.035,5.0,105,31,29.52,2.23 (1.73-2.73),74,70.48,3.65 (3.26-4.04),6.45,2.94
oligodendrocytes 16,81.0,0.175,44.0,1,1,100.0,NA,0,0.0,NA,3.71,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.348,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.143,47.0,104,33,31.73,1.96 (1.59-2.32),71,68.27,3.34 (3.01-3.67),9.78,3.36
oligodendrocytes 0,2078.0,0.131,84.0,238,19,7.98,3.00 (2.40-3.60),219,92.02,3.70 (3.47-3.94),5.61,4.97
microglia 1,958.0,0.116,58.0,290,40,13.79,3.78 (3.14-4.41),250,86.21,3.82 (3.58-4.07),5.16,4.97
oligodendrocytes 3,1003.0,0.063,14.0,111,5,4.5,4.40 (3.17-5.63),106,95.5,3.24 (2.89-3.60),2.65,4.31
oligodendrocytes 2,1630.0,0.145,57.0,154,3,1.95,3.21 (2.28-4.15),151,98.05,3.25 (2.97-3.52),3.36,3.60
