tipo_celular,module_size,RAB40B_MM,RAB40B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.085,2.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229.0,0.209,58.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.223,63.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.333,86.0,91,9,9.89,0.65 (0.26-1.05),82,90.11,5.06 (4.62-5.51),3.34,3.03
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.116,15.0,12,1,8.33,5.75 (NA-NA),11,91.67,2.05 (0.47-3.62),2.10,4.43
GABA like neurons 14,2090.0,0.122,28.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,771.0,0.237,72.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.236,82.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.173,82.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.18,81.0,36,2,5.56,3.38 (NA-NA),34,94.44,3.78 (2.65-4.92),1.74,2.62
oligodendrocytes 16,65.0,0.149,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,94.0,0.409,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.145,50.0,104,9,8.65,2.00 (1.04-2.96),95,91.35,2.95 (2.66-3.24),10.17,4.94
oligodendrocytes 0,613.0,0.112,17.0,127,5,3.94,3.52 (2.99-4.05),122,96.06,3.02 (2.58-3.46),3.69,6.38
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.125,81.0,76,2,2.63,2.19 (-1.70-6.07),74,97.37,2.80 (2.47-3.12),2.20,4.79
oligodendrocytes 2,407.0,0.059,1.0,122,12,9.84,1.60 (0.81-2.40),110,90.16,3.58 (3.18-3.98),3.51,2.61
