tipo_celular,module_size,CCT5_MM,CCT5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.101,12.0,140,6,4.29,4.00 (2.28-5.72),134,95.71,4.54 (4.10-4.97),2.22,3.63
T cells 18,518.0,0.169,60.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.167,52.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42),8.00,7.52
GABA neurons expressing GLU receptors 22,848.0,0.146,22.0,262,28,10.69,3.51 (2.74-4.28),234,89.31,4.25 (3.99-4.51),7.43,3.71
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.309,82.0,410,57,13.9,4.51 (3.82-5.21),353,86.1,4.22 (4.02-4.41),9.42,7.21
GABA neurons expressing GABA receptors 13,265.0,0.171,58.0,78,6,7.69,4.08 (2.46-5.69),72,92.31,4.39 (3.96-4.82),4.92,4.21
endothelial cells 9,385.0,0.2,91.0,275,101,36.73,3.37 (2.87-3.87),174,63.27,4.29 (4.02-4.57),7.73,4.81
oligodendrocytes 20,322.0,0.057,18.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.348,73.0,455,60,13.19,3.43 (2.75-4.12),395,86.81,4.47 (4.29-4.66),15.04,7.89
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.082,42.0,235,21,8.94,5.23 (4.36-6.10),214,91.06,3.74 (3.51-3.98),7.69,7.61
oligodendrocytes 10,735.0,0.273,97.0,277,33,11.91,6.44 (5.79-7.09),244,88.09,3.76 (3.52-4.00),3.13,9.73
connective tissue cells 21,301.0,0.279,24.0,158,8,5.06,2.09 (0.88-3.31),150,94.94,4.40 (4.04-4.77),6.45,7.10
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.218,50.0,291,24,8.25,4.32 (3.61-5.04),267,91.75,4.33 (4.09-4.56),5.09,3.70
da neurons 6,409.0,0.222,83.0,235,52,22.13,4.98 (4.35-5.61),183,77.87,3.75 (3.50-4.01),5.62,4.07
astrocytes microglia 23,108.0,0.337,59.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.203,90.0,127,44,34.65,3.00 (2.38-3.62),83,65.35,3.07 (2.55-3.59),3.63,7.68
microglia 1,214.0,0.152,40.0,227,13,5.73,4.45 (3.84-5.06),214,94.27,4.07 (3.83-4.32),12.12,5.76
oligodendrocytes 3,457.0,0.144,63.0,345,73,21.16,4.76 (4.25-5.27),272,78.84,4.17 (3.95-4.40),7.81,5.12
oligodendrocytes 2,528.0,0.249,72.0,175,54,30.86,5.21 (4.56-5.87),121,69.14,4.12 (3.72-4.51),5.22,4.35
