tipo_celular,module_size,EFL1_MM,EFL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.144,40.0,97,3,3.09,3.85 (1.26-6.43),94,96.91,3.03 (2.64-3.43),3.09,4.96
T cells 18,477.0,0.181,63.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.124,63.0,136,2,1.47,3.30 (1.61-5.00),134,98.53,3.21 (2.93-3.48),2.47,5.03
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,20,5.67,1.88 (1.31-2.45),333,94.33,4.03 (3.85-4.22),20.16,7.34
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.087,15.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,204.0,0.335,94.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.509,98.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.145,56.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67),2.35,8.66
astrocytes 8,771.0,0.053,14.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.055,14.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,2107.0,0.147,50.0,358,16,4.47,1.67 (1.12-2.23),342,95.53,4.00 (3.81-4.19),21.60,8.91
connective tissue cells 21,139.0,0.262,24.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,458.0,0.023,2.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,149.0,0.097,3.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.291,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.12,12.0,104,8,7.69,1.21 (0.62-1.81),96,92.31,3.01 (2.73-3.29),11.22,4.91
oligodendrocytes 0,2078.0,0.123,68.0,238,5,2.1,1.60 (0.58-2.61),233,97.9,3.68 (3.46-3.90),10.87,4.90
microglia 1,958.0,0.129,75.0,290,8,2.76,3.09 (2.13-4.05),282,97.24,3.84 (3.61-4.07),3.50,5.04
oligodendrocytes 3,1003.0,0.066,17.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.146,60.0,154,2,1.3,5.25 (3.13-7.37),152,98.7,3.21 (2.95-3.48),3.32,3.60
