tipo_celular,module_size,DNAJC18_MM,DNAJC18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.086,10.0,136,9,6.62,2.77 (2.00-3.55),127,93.38,3.24 (2.96-3.53),5.55,4.95
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,21,5.95,1.52 (0.87-2.17),332,94.05,4.09 (3.91-4.26),30.19,6.66
GABA neurons expressing GLU receptors 22,848.0,0.174,33.0,262,11,4.2,2.43 (1.56-3.30),251,95.8,4.27 (4.02-4.52),3.69,4.12
GLU like neurons 17,1316.0,0.17,84.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,108.0,0.13,22.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,200.0,0.079,2.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,1653.0,0.076,10.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,271.0,0.121,20.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.209,45.0,455,31,6.81,2.37 (1.51-3.22),424,93.19,4.50 (4.32-4.68),18.32,8.14
astrocytes 8,727.0,0.026,1.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.101,76.0,276,12,4.35,1.67 (1.17-2.17),264,95.65,3.65 (3.44-3.87),10.48,4.87
oligodendrocytes 10,806.0,0.167,54.0,261,8,3.07,3.01 (2.27-3.75),253,96.93,4.42 (4.18-4.67),7.17,6.03
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.078,43.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,121.0,0.241,63.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,448.0,0.126,73.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,76.0,0.356,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.159,76.0,104,17,16.35,1.99 (1.36-2.62),87,83.65,3.05 (2.75-3.35),9.31,4.63
oligodendrocytes 0,2078.0,0.124,71.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.054,12.0,76,7,9.21,4.66 (3.53-5.79),69,90.79,2.99 (2.59-3.39),4.91,7.53
oligodendrocytes 2,1630.0,0.161,86.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
