tipo_celular,module_size,RBM6_MM,RBM6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.122,20.0,98,7,7.14,1.75 (1.06-2.44),91,92.86,3.38 (2.88-3.88),13.75,13.43
T cells 18,388.0,0.168,60.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,118.0,0.177,17.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448.0,0.155,62.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,599.0,0.112,7.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247.0,0.254,94.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.213,86.0,133,26,19.55,1.67 (1.29-2.06),107,80.45,3.73 (3.40-4.06),5.15,3.92
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.228,96.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348.0,0.243,83.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300.0,0.288,84.0,306,2,0.65,1.08 (-0.63-2.78),304,99.35,5.13 (4.87-5.39),2.60,6.73
astrocytes 8,279.0,0.179,14.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,138.0,0.416,25.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107.0,0.351,95.0,358,31,8.66,1.69 (1.32-2.05),327,91.34,4.15 (3.96-4.33),29.10,7.61
connective tissue cells 21,104.0,0.186,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.261,86.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,155.0,0.188,32.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,45.0,0.207,7.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,251.0,0.102,6.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186.0,0.165,82.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,315.0,0.101,14.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,639.0,0.102,55.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,407.0,0.216,91.0,122,19,15.57,1.19 (0.91-1.48),103,84.43,3.86 (3.46-4.25),3.32,2.59
