tipo_celular,module_size,ARFGAP1_MM,ARFGAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.094,28.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,21,5.95,2.03 (1.35-2.72),332,94.05,4.04 (3.86-4.23),24.73,7.01
GABA neurons expressing GLU receptors 22,400.0,0.141,17.0,24,10,41.67,1.32 (0.60-2.04),14,58.33,2.75 (2.23-3.28),5.35,2.32
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.099,26.0,133,7,5.26,1.29 (0.18-2.39),126,94.74,3.38 (3.07-3.70),6.42,4.04
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.07,25.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402.0,0.142,22.0,455,13,2.86,1.68 (0.88-2.49),442,97.14,4.45 (4.27-4.63),32.69,8.13
astrocytes 8,603.0,0.08,53.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.037,5.0,32,10,31.25,1.37 (0.66-2.08),22,68.75,4.29 (3.40-5.17),3.61,2.14
oligodendrocytes 10,806.0,0.089,23.0,261,11,4.21,2.83 (2.10-3.57),250,95.79,4.46 (4.21-4.70),9.75,5.90
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.114,73.0,96,2,2.08,2.70 (1.32-4.09),94,97.92,3.64 (3.18-4.09),4.56,3.78
oligodendrocytes 16,65.0,0.167,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.091,29.0,122,16,13.11,1.68 (1.15-2.20),106,86.89,4.47 (4.08-4.85),4.95,3.26
astrocytes microglia 23,131.0,0.257,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.135,20.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39),2.53,6.20
oligodendrocytes 0,309.0,0.085,4.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83),2.64,2.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.029,1.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.146,58.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
