tipo_celular,module_size,TPM3_MM,TPM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.265,91.0,97,1,1.03,5.16 (NA-NA),96,98.97,3.03 (2.63-3.42),3.46,4.92
T cells 18,506.0,0.243,66.0,225,14,6.22,3.33 (2.16-4.50),211,93.78,3.63 (3.37-3.88),17.51,7.27
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.229,57.0,262,13,4.96,2.76 (1.61-3.92),249,95.04,4.23 (3.98-4.48),10.63,3.76
GLU like neurons 17,229.0,0.213,60.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220.0,0.082,8.0,410,12,2.93,3.19 (1.82-4.56),398,97.07,4.27 (4.08-4.46),19.31,7.16
GABA neurons expressing GABA receptors 13,77.0,0.118,11.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,559.0,0.252,74.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,250.0,0.179,52.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.194,40.0,455,17,3.74,2.06 (1.07-3.05),438,96.26,4.44 (4.25-4.62),29.76,8.02
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.251,78.0,129,3,2.33,4.46 (3.75-5.17),126,97.67,3.40 (3.00-3.80),6.71,19.49
connective tissue cells 21,92.0,0.275,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,78.0,0.118,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.075,10.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92),3.49,8.58
astrocytes microglia 23,45.0,0.446,91.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.093,12.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,480.0,0.132,19.0,163,1,0.61,7.00 (NA-NA),162,99.39,3.68 (3.42-3.95),1.46,5.19
oligodendrocytes 3,457.0,0.074,24.0,345,15,4.35,3.85 (3.06-4.64),330,95.65,4.29 (4.08-4.51),15.88,5.23
oligodendrocytes 2,1630.0,0.143,53.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
