tipo_celular,module_size,EDF1_MM,EDF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.171,33.0,98,9,9.18,1.89 (1.12-2.65),89,90.82,3.41 (2.90-3.93),14.50,13.35
T cells 18,506.0,0.072,4.0,225,13,5.78,2.44 (1.34-3.53),212,94.22,3.71 (3.46-3.96),9.56,7.80
astrocytes 5,328.0,0.206,67.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.155,42.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40),3.86,7.55
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.25,71.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45),18.57,7.46
GABA neurons expressing GABA receptors 13,417.0,0.16,49.0,213,17,7.98,1.30 (0.83-1.77),196,92.02,4.04 (3.82-4.27),7.44,9.88
endothelial cells 9,916.0,0.377,82.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,348.0,0.191,69.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2402.0,0.565,93.0,455,23,5.05,1.71 (1.16-2.27),432,94.95,4.54 (4.36-4.72),22.83,8.09
astrocytes 8,603.0,0.161,84.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,1049.0,0.137,72.0,235,1,0.43,4.40 (NA-NA),234,99.57,3.82 (3.59-4.05),1.82,7.64
oligodendrocytes 10,735.0,0.139,72.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,118.0,0.288,42.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401.0,0.078,43.0,96,7,7.29,2.33 (1.21-3.45),89,92.71,3.72 (3.25-4.19),3.74,3.80
oligodendrocytes 16,158.0,0.366,98.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,729.0,0.272,92.0,182,7,3.85,1.90 (1.08-2.72),175,96.15,3.72 (3.47-3.98),3.88,8.71
astrocytes microglia 23,161.0,0.305,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208.0,0.14,18.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546.0,0.194,64.0,252,22,8.73,1.84 (1.23-2.46),230,91.27,4.39 (4.15-4.62),9.80,8.06
microglia 1,406.0,0.179,50.0,278,1,0.36,5.16 (NA-NA),277,99.64,4.36 (4.08-4.63),6.81,6.74
oligodendrocytes 3,303.0,0.118,42.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.318,67.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
