tipo_celular,module_size,CHST15_MM,CHST15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.254,88.0,97,2,2.06,2.69 (2.37-3.02),95,97.94,3.06 (2.66-3.47),3.40,4.94
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.173,69.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.104,12.0,353,29,8.22,1.77 (1.34-2.20),324,91.78,4.14 (3.96-4.32),23.88,6.65
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.241,63.0,120,4,3.33,3.35 (2.52-4.18),116,96.67,4.66 (4.33-4.98),2.97,3.68
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.119,25.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33),3.66,10.69
astrocytes 8,1266.0,0.167,91.0,66,7,10.61,0.81 (0.18-1.45),59,89.39,3.56 (3.18-3.95),3.97,2.83
oligodendrocyte progenitor cells 12,708.0,0.356,90.0,32,8,25.0,1.23 (0.41-2.04),24,75.0,4.05 (3.19-4.91),3.61,2.26
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.407,87.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76),NA,2.67
astrocytes 15,1768.0,0.048,12.0,105,14,13.33,1.47 (1.08-1.86),91,86.67,3.51 (3.16-3.85),5.48,3.75
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.273,62.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,161.0,0.199,60.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.122,57.0,79,3,3.8,2.28 (1.65-2.91),76,96.2,3.14 (2.72-3.55),4.93,8.02
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
