tipo_celular,module_size,NOL4_MM,NOL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.12,33.0,166,9,5.42,1.69 (1.15-2.24),157,94.58,3.51 (3.25-3.76),11.69,4.14
oligodendrocyte progenitor cells 7,436.0,0.13,51.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,459.0,0.28,86.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41),NA,4.09
GLU like neurons 17,795.0,0.111,39.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,209.0,0.567,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.208,52.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,140.0,0.249,79.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,254.0,0.373,76.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.19,76.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.275,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.158,58.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67),2.74,4.35
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
