tipo_celular,module_size,SEC13_MM,SEC13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.152,49.0,71,14,19.72,3.33 (2.41-4.26),57,80.28,2.44 (1.99-2.89),1.91,3.99
T cells 18,393.0,0.152,50.0,59,7,11.86,3.68 (3.23-4.13),52,88.14,3.02 (2.45-3.59),3.08,5.65
astrocytes 5,1656.0,0.1,26.0,136,15,11.03,4.04 (3.70-4.38),121,88.97,3.11 (2.81-3.40),2.93,5.24
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,58,16.43,2.72 (2.33-3.10),295,83.57,4.18 (3.99-4.38),19.20,5.87
GABA neurons expressing GLU receptors 22,714.0,0.138,24.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.049,0.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.071,5.0,302,16,5.3,2.91 (2.32-3.50),286,94.7,4.06 (3.83-4.30),9.87,10.70
oligodendrocytes 20,253.0,0.237,78.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.104,10.0,455,69,15.16,3.26 (2.92-3.60),386,84.84,4.60 (4.40-4.81),16.56,7.45
astrocytes 8,354.0,0.057,14.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,153.0,0.027,2.0,27,2,7.41,1.78 (0.16-3.40),25,92.59,5.30 (4.50-6.09),1.51,2.20
oligodendrocytes 10,735.0,0.026,2.0,277,5,1.81,5.46 (4.05-6.88),272,98.19,3.85 (3.61-4.10),2.48,9.06
connective tissue cells 21,110.0,0.465,99.0,13,2,15.38,3.90 (3.48-4.33),11,84.62,2.97 (2.01-3.93),1.70,1.70
astrocytes 15,418.0,0.029,8.0,54,5,9.26,2.90 (2.03-3.76),49,90.74,3.77 (3.30-4.25),2.42,3.07
oligodendrocytes 16,91.0,0.34,97.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.343,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.14,41.0,104,26,25.0,2.88 (2.35-3.41),78,75.0,2.86 (2.52-3.19),9.31,4.09
oligodendrocytes 0,2078.0,0.096,16.0,238,22,9.24,3.89 (3.28-4.50),216,90.76,3.61 (3.37-3.84),5.45,4.98
microglia 1,1615.0,0.089,20.0,161,28,17.39,2.21 (1.64-2.78),133,82.61,3.56 (3.28-3.84),12.08,4.03
oligodendrocytes 3,357.0,0.037,4.0,127,2,1.57,6.14 (6.03-6.26),125,98.43,3.06 (2.73-3.39),2.04,4.27
oligodendrocytes 2,1630.0,0.131,28.0,154,4,2.6,3.57 (0.73-6.42),150,97.4,3.24 (2.97-3.51),2.17,3.63
