tipo_celular,module_size,TXN2_MM,TXN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.173,56.0,164,1,0.61,3.85 (NA-NA),163,99.39,4.09 (3.76-4.42),1.89,7.56
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.138,33.0,213,14,6.57,1.47 (0.93-2.01),199,93.43,3.97 (3.73-4.21),9.46,9.70
endothelial cells 9,916.0,0.156,34.0,302,2,0.66,2.47 (1.19-3.75),300,99.34,3.99 (3.77-4.22),22.41,10.57
oligodendrocytes 20,253.0,0.224,75.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.215,46.0,455,15,3.3,1.60 (0.96-2.23),440,96.7,4.47 (4.29-4.65),29.12,8.14
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.121,65.0,235,1,0.43,4.40 (NA-NA),234,99.57,3.82 (3.59-4.05),1.82,7.64
oligodendrocytes 10,735.0,0.137,72.0,277,1,0.36,3.12 (NA-NA),276,99.64,3.90 (3.65-4.14),5.83,8.96
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.24,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.137,41.0,182,3,1.65,2.51 (0.66-4.36),179,98.35,3.66 (3.41-3.91),3.90,8.60
astrocytes microglia 23,140.0,0.346,76.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.106,14.0,252,14,5.56,1.61 (0.91-2.30),238,94.44,4.29 (4.05-4.53),10.53,8.07
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.084,24.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.202,30.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
