tipo_celular,module_size,FBXO31_MM,FBXO31_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.106,34.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48),3.06,5.03
oligodendrocyte progenitor cells 7,4285.0,0.186,99.0,353,32,9.07,2.64 (2.18-3.10),321,90.93,4.06 (3.86-4.25),19.28,6.95
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.183,48.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.09,9.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.075,43.0,66,5,7.58,1.69 (0.48-2.90),61,92.42,3.37 (2.95-3.80),4.14,2.85
oligodendrocyte progenitor cells 12,254.0,0.05,14.0,37,2,5.41,2.42 (2.37-2.47),35,94.59,4.64 (4.06-5.22),1.70,2.52
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,106.0,0.196,16.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,261.0,0.028,4.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83),1.77,1.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.508,100.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.143,47.0,104,16,15.38,2.06 (1.45-2.67),88,84.62,3.02 (2.72-3.33),8.49,4.84
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
