tipo_celular,module_size,PRMT7_MM,PRMT7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.128,27.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,727.0,0.16,62.0,49,2,4.08,2.79 (2.27-3.31),47,95.92,2.41 (2.00-2.82),3.18,6.37
astrocytes 5,1656.0,0.085,10.0,136,8,5.88,2.29 (1.60-2.97),128,94.12,3.27 (2.99-3.56),6.42,4.90
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,60,17.0,2.32 (2.01-2.64),293,83.0,4.32 (4.14-4.51),20.98,5.42
GABA neurons expressing GLU receptors 22,203.0,0.262,49.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.062,6.0,51,2,3.92,4.07 (NA-NA),49,96.08,3.61 (3.02-4.21),1.59,3.30
da like neurons 11,215.0,0.1,14.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.126,50.0,169,11,6.51,2.82 (1.78-3.85),158,93.49,3.54 (3.32-3.76),4.23,5.44
GABA like neurons 14,2090.0,0.223,88.0,74,7,9.46,2.27 (1.61-2.93),67,90.54,3.02 (2.61-3.43),3.91,11.19
astrocytes 8,1266.0,0.052,17.0,66,20,30.3,1.74 (1.26-2.22),46,69.7,4.03 (3.63-4.43),4.12,2.44
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,39,14.13,2.15 (1.84-2.45),237,85.87,3.86 (3.63-4.09),11.31,4.09
oligodendrocytes 10,2107.0,0.096,27.0,358,65,18.16,2.14 (1.83-2.45),293,81.84,4.34 (4.16-4.53),24.25,6.19
connective tissue cells 21,77.0,0.283,47.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1401.0,0.046,13.0,96,7,7.29,3.05 (1.97-4.13),89,92.71,3.67 (3.19-4.15),3.78,3.80
oligodendrocytes 16,81.0,0.318,93.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.333,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.125,17.0,104,28,26.92,1.91 (1.57-2.25),76,73.08,3.25 (2.92-3.58),10.20,3.63
oligodendrocytes 0,479.0,0.141,41.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.073,5.0,161,41,25.47,2.01 (1.64-2.37),120,74.53,3.84 (3.56-4.13),11.57,3.34
oligodendrocytes 3,639.0,0.076,32.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,1630.0,0.122,17.0,154,3,1.95,4.28 (4.06-4.51),151,98.05,3.23 (2.96-3.50),2.94,3.61
