tipo_celular,module_size,PEX2_MM,PEX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.275,86.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,393.0,0.123,29.0,59,4,6.78,3.42 (2.72-4.12),55,93.22,3.08 (2.54-3.62),2.82,5.53
astrocytes 5,1656.0,0.129,72.0,136,11,8.09,4.20 (3.30-5.10),125,91.91,3.16 (2.88-3.43),2.49,5.21
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,72,20.4,2.82 (2.40-3.24),281,79.6,4.21 (4.02-4.39),20.50,4.88
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.225,61.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.088,6.0,455,46,10.11,2.84 (2.33-3.34),409,89.89,4.59 (4.40-4.77),18.23,7.78
astrocytes 8,727.0,0.043,6.0,29,2,6.9,2.49 (1.16-3.83),27,93.1,2.35 (1.83-2.88),3.46,3.55
oligodendrocyte progenitor cells 12,1049.0,0.023,1.0,235,2,0.85,3.22 (-0.56-7.00),233,99.15,3.83 (3.60-4.06),2.48,7.66
oligodendrocytes 10,483.0,0.064,19.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,301.0,0.132,2.0,158,9,5.7,2.79 (1.43-4.15),149,94.3,4.36 (3.98-4.73),4.80,7.20
astrocytes 15,1768.0,0.096,59.0,105,35,33.33,2.64 (2.12-3.16),70,66.67,3.53 (3.12-3.95),5.91,3.01
oligodendrocytes 16,87.0,0.234,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,52.0,0.334,61.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,1807.0,0.161,80.0,104,31,29.81,2.31 (1.92-2.70),73,70.19,3.13 (2.77-3.48),10.60,3.19
oligodendrocytes 0,613.0,0.114,19.0,127,15,11.81,2.90 (2.46-3.35),112,88.19,3.08 (2.58-3.58),4.01,6.58
microglia 1,1615.0,0.1,35.0,161,49,30.43,2.58 (2.06-3.09),112,69.57,3.61 (3.32-3.90),10.46,3.23
oligodendrocytes 3,743.0,0.106,77.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.169,93.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51),2.83,3.60
