tipo_celular,module_size,TOX_MM,TOX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.215,78.0,84,17,20.24,3.68 (3.02-4.34),67,79.76,2.80 (2.43-3.16),2.34,4.83
astrocytes 5,156.0,0.201,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.129,50.0,219,24,10.96,5.01 (4.27-5.76),195,89.04,5.25 (4.93-5.56),7.00,4.32
GABA neurons expressing GLU receptors 22,459.0,0.209,69.0,165,13,7.88,3.49 (2.38-4.60),152,92.12,5.27 (4.92-5.61),4.19,4.08
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.196,48.0,120,8,6.67,3.51 (2.97-4.05),112,93.33,4.70 (4.36-5.03),2.42,3.74
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.232,62.0,306,34,11.11,4.18 (3.43-4.92),272,88.89,5.27 (4.99-5.54),13.75,5.83
astrocytes 8,727.0,0.109,50.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411.0,0.284,70.0,103,12,11.65,5.36 (4.16-6.56),91,88.35,5.58 (5.17-5.98),3.43,3.04
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.11,29.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.307,58.0,46,3,6.52,6.98 (5.71-8.25),43,93.48,4.88 (4.31-5.46),2.29,3.28
astrocytes 4,161.0,0.183,52.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
