tipo_celular,module_size,ARMC2_MM,ARMC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.179,62.0,32,11,34.38,5.07 (4.15-5.99),21,65.62,5.01 (4.41-5.61),4.07,3.65
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,9,2.55,2.00 (1.25-2.74),344,97.45,3.95 (3.77-4.14),10.48,8.00
GABA neurons expressing GLU receptors 22,1069.0,0.161,48.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,795.0,0.096,27.0,80,2,2.5,NA,78,97.5,5.68 (5.27-6.09),1.35,3.06
da like neurons 11,89.0,0.437,90.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.173,63.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,262.0,0.169,64.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,5,1.81,2.41 (1.33-3.49),271,98.19,3.57 (3.35-3.79),6.64,5.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,85.0,0.217,16.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1401.0,0.067,32.0,96,7,7.29,3.71 (3.09-4.33),89,92.71,3.60 (3.11-4.09),3.39,3.83
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.304,38.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,752.0,0.157,56.0,96,4,4.17,4.41 (3.85-4.98),92,95.83,3.23 (2.89-3.57),2.14,4.41
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
