tipo_celular,module_size,RRAGA_MM,RRAGA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.204,71.0,164,10,6.1,4.21 (3.41-5.02),154,93.9,4.07 (3.72-4.42),3.29,7.80
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,73.0,0.202,77.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,338.0,0.127,48.0,191,9,4.71,4.87 (4.20-5.54),182,95.29,3.82 (3.59-4.05),6.99,9.26
oligodendrocytes 20,403.0,0.098,42.0,18,10,55.56,1.11 (0.55-1.67),8,44.44,2.84 (1.79-3.89),4.54,2.85
GABA like neurons 14,2402.0,0.441,83.0,455,48,10.55,2.84 (2.29-3.39),407,89.45,4.54 (4.35-4.73),16.31,7.95
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.077,39.0,235,7,2.98,3.66 (2.89-4.44),228,97.02,3.83 (3.59-4.07),3.11,7.75
oligodendrocytes 10,806.0,0.215,66.0,261,29,11.11,3.31 (2.81-3.80),232,88.89,4.48 (4.22-4.74),5.96,6.08
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.193,39.0,291,41,14.09,3.50 (3.05-3.96),250,85.91,4.47 (4.22-4.71),5.25,3.58
da neurons 6,409.0,0.168,70.0,235,20,8.51,3.17 (2.24-4.10),215,91.49,4.05 (3.80-4.31),4.13,4.44
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.13,28.0,252,31,12.3,2.42 (1.75-3.09),221,87.7,4.37 (4.12-4.61),7.83,8.26
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.109,46.0,345,41,11.88,3.76 (3.30-4.22),304,88.12,4.35 (4.12-4.58),6.70,5.56
oligodendrocytes 2,526.0,0.221,37.0,213,2,0.94,NA,211,99.06,3.98 (3.70-4.25),1.40,8.00
