tipo_celular,module_size,LPCAT1_MM,LPCAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.265,80.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,393.0,0.415,96.0,59,5,8.47,3.65 (3.18-4.13),54,91.53,3.05 (2.50-3.60),3.21,5.54
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,26,7.37,2.48 (1.73-3.23),327,92.63,4.04 (3.86-4.22),23.81,6.81
GABA neurons expressing GLU receptors 22,487.0,0.141,18.0,73,3,4.11,1.49 (1.32-1.65),70,95.89,2.82 (2.42-3.21),2.77,7.52
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,137.0,0.182,18.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,75.0,0.245,91.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,559.0,0.062,6.0,155,2,1.29,NA,153,98.71,4.34 (3.97-4.70),3.48,4.34
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.107,17.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,19,6.88,3.51 (2.71-4.32),257,93.12,3.54 (3.32-3.77),6.42,5.01
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,126.0,0.32,71.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.059,2.0,122,18,14.75,2.31 (1.69-2.94),104,85.25,4.39 (3.97-4.81),5.62,3.11
astrocytes microglia 23,327.0,0.387,73.0,120,16,13.33,2.38 (1.62-3.14),104,86.67,3.80 (3.49-4.11),3.19,2.73
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.314,87.0,163,2,1.23,NA,161,98.77,3.71 (3.44-3.97),3.55,5.19
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
