tipo_celular,module_size,EPHB1_MM,EPHB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.091,6.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,34,9.63,2.18 (1.74-2.63),319,90.37,4.13 (3.95-4.32),21.72,6.61
GABA neurons expressing GLU receptors 22,459.0,0.185,61.0,165,34,20.61,4.20 (3.35-5.06),131,79.39,5.35 (5.00-5.69),4.57,3.96
GLU like neurons 17,229.0,0.173,33.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,289.0,0.237,72.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,77.0,0.123,15.0,8,3,37.5,3.00 (0.91-5.08),5,62.5,3.31 (2.56-4.07),1.68,1.82
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.168,31.0,306,89,29.08,4.49 (4.00-4.99),217,70.92,5.43 (5.14-5.72),10.80,5.03
astrocytes 8,354.0,0.09,29.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.567,99.0,32,16,50.0,2.84 (1.56-4.12),16,50.0,3.79 (3.02-4.55),2.97,2.22
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.179,70.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.437,97.0,6,1,16.67,5.62 (NA-NA),5,83.33,3.59 (3.46-3.72),1.95,3.13
astrocytes 4,1807.0,0.089,1.0,104,16,15.38,2.03 (1.45-2.61),88,84.62,3.03 (2.72-3.33),9.52,4.65
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
