tipo_celular,module_size,SGCD_MM,SGCD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.175,48.0,68,3,4.41,3.14 (1.94-4.35),65,95.59,4.45 (3.86-5.03),2.64,3.34
astrocytes 5,499.0,0.258,91.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,666.0,0.063,3.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,599.0,0.22,56.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685.0,0.245,85.0,135,1,0.74,1.29 (NA-NA),134,99.26,3.21 (2.90-3.51),1.54,3.77
da like neurons 11,191.0,0.594,99.0,93,6,6.45,3.05 (2.14-3.96),87,93.55,5.89 (5.51-6.27),4.00,4.14
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.166,59.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.205,50.0,306,10,3.27,2.91 (2.36-3.46),296,96.73,5.20 (4.94-5.47),8.64,6.64
astrocytes 8,771.0,0.119,49.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,103.0,0.069,11.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,130.0,0.488,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.203,11.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,261.0,0.15,50.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71),NA,1.83
oligodendrocytes 16,153.0,0.091,1.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.221,4.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,220.0,0.204,73.0,63,6,9.52,3.52 (2.74-4.30),57,90.48,5.36 (4.76-5.96),4.70,3.15
oligodendrocytes 0,1186.0,0.132,30.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.125,46.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.23,66.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
