tipo_celular,module_size,ADGRG1_MM,ADGRG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.255,89.0,97,1,1.03,5.16 (NA-NA),96,98.97,3.03 (2.63-3.42),3.46,4.92
T cells 18,393.0,0.569,99.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62),2.27,5.40
astrocytes 5,322.0,0.108,14.0,58,30,51.72,4.05 (3.45-4.65),28,48.28,4.34 (3.75-4.94),2.07,2.58
oligodendrocyte progenitor cells 7,628.0,0.282,88.0,164,10,6.1,4.81 (3.42-6.20),154,93.9,4.03 (3.70-4.37),3.62,7.78
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.219,69.0,155,5,3.23,4.04 (3.17-4.91),150,96.77,4.35 (3.97-4.73),1.90,4.41
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.076,50.0,89,5,5.62,1.20 (0.96-1.45),84,94.38,2.89 (2.53-3.25),4.70,6.12
oligodendrocyte progenitor cells 12,218.0,0.271,52.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.129,83.0,105,10,9.52,1.40 (0.89-1.91),95,90.48,3.42 (3.08-3.76),4.75,3.90
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.216,31.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,721.0,0.119,7.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.254,98.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
