tipo_celular,module_size,SPON1_MM,SPON1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.11,15.0,97,1,1.03,6.60 (NA-NA),96,98.97,3.01 (2.62-3.40),2.50,4.93
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.236,65.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00),NA,2.65
oligodendrocyte progenitor cells 7,200.0,0.342,91.0,16,1,6.25,2.43 (NA-NA),15,93.75,4.04 (3.20-4.89),1.63,4.46
GABA neurons expressing GLU receptors 22,823.0,0.177,49.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.186,86.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.296,61.0,78,1,1.28,2.43 (NA-NA),77,98.72,4.34 (3.93-4.76),5.13,2.68
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,6,2.17,1.94 (1.38-2.49),270,97.83,3.59 (3.37-3.81),19.00,4.80
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.249,58.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418.0,0.447,87.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,99.0,0.164,2.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,251.0,0.164,49.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.142,85.0,161,12,7.45,1.05 (0.56-1.55),149,92.55,3.49 (3.23-3.75),17.49,4.46
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
