tipo_celular,module_size,RBM23_MM,RBM23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.338,93.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610.0,0.111,19.0,98,20,20.41,2.02 (1.65-2.40),78,79.59,3.44 (3.08-3.80),2.64,4.40
astrocytes 5,1656.0,0.098,24.0,136,6,4.41,2.03 (1.43-2.62),130,95.59,3.27 (2.99-3.55),7.27,4.88
oligodendrocyte progenitor cells 7,666.0,0.171,55.0,127,5,3.94,1.31 (0.80-1.82),122,96.06,3.99 (3.66-4.32),5.44,5.85
GABA neurons expressing GLU receptors 22,703.0,0.162,35.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.095,23.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,221.0,0.276,75.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.134,19.0,455,15,3.3,2.35 (1.65-3.06),440,96.7,4.43 (4.24-4.62),8.12,8.86
astrocytes 8,577.0,0.036,6.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,411.0,0.04,12.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,1277.0,0.029,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.317,68.0,1,1,100.0,NA,0,0.0,NA,1.30,NA
astrocytes 15,367.0,0.187,78.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,81.0,0.334,97.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,63.0,0.293,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.163,83.0,104,15,14.42,1.45 (1.10-1.80),89,85.58,3.12 (2.83-3.42),7.20,5.09
oligodendrocytes 0,2078.0,0.108,38.0,238,15,6.3,2.55 (1.97-3.13),223,93.7,3.72 (3.49-3.95),6.38,4.93
microglia 1,1615.0,0.09,22.0,161,34,21.12,2.07 (1.80-2.33),127,78.88,3.69 (3.38-4.00),5.73,5.35
oligodendrocytes 3,681.0,0.056,13.0,87,29,33.33,2.01 (1.75-2.26),58,66.67,2.91 (2.54-3.28),4.22,4.25
oligodendrocytes 2,1630.0,0.139,45.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
