tipo_celular,module_size,PLXNA4_MM,PLXNA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.153,92.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.121,17.0,127,11,8.66,2.02 (1.52-2.52),116,91.34,4.10 (3.76-4.44),4.27,5.99
GABA neurons expressing GLU receptors 22,714.0,0.267,85.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1247.0,0.241,93.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,140.0,0.398,99.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,266.0,0.182,62.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11),2.57,4.00
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.339,95.0,306,64,20.92,4.48 (3.87-5.08),242,79.08,5.32 (5.05-5.60),11.55,5.43
astrocytes 8,283.0,0.22,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.029,2.0,276,6,2.17,1.21 (0.70-1.72),270,97.83,3.61 (3.39-3.83),7.63,5.05
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.123,78.0,96,10,10.42,4.58 (3.34-5.82),86,89.58,3.47 (3.00-3.95),2.85,3.91
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.12,60.0,122,19,15.57,4.79 (3.30-6.29),103,84.43,3.82 (3.47-4.18),3.53,3.47
astrocytes microglia 23,52.0,0.338,65.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,255.0,0.136,19.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
