tipo_celular,module_size,LGALS3BP_MM,LGALS3BP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.166,50.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.216,74.0,164,7,4.27,3.81 (3.29-4.32),157,95.73,4.10 (3.76-4.44),4.20,7.67
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.194,55.0,410,16,3.9,2.94 (2.02-3.85),394,96.1,4.28 (4.09-4.47),18.14,7.08
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.132,25.0,302,10,3.31,2.77 (1.34-4.20),292,96.69,4.01 (3.78-4.24),6.83,10.78
oligodendrocytes 20,938.0,0.235,88.0,169,17,10.06,2.60 (1.56-3.63),152,89.94,3.53 (3.31-3.76),8.07,5.06
GABA like neurons 14,2402.0,0.214,46.0,455,25,5.49,1.91 (1.23-2.59),430,94.51,4.47 (4.28-4.65),26.37,7.82
astrocytes 8,603.0,0.192,89.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.402,92.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64),4.50,2.25
oligodendrocytes 10,806.0,0.124,37.0,261,10,3.83,2.95 (2.48-3.41),251,96.17,4.39 (4.15-4.64),7.77,6.00
connective tissue cells 21,301.0,0.453,70.0,158,13,8.23,3.21 (2.14-4.28),145,91.77,4.33 (3.94-4.71),10.74,6.74
astrocytes 15,1768.0,0.112,73.0,105,7,6.67,1.69 (1.01-2.36),98,93.33,3.33 (2.99-3.68),9.56,3.58
oligodendrocytes 16,158.0,0.149,15.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,300.0,0.185,59.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,111.0,0.347,61.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,208.0,0.19,46.0,173,7,4.05,2.27 (NA-NA),166,95.95,3.81 (3.51-4.11),2.93,5.73
oligodendrocytes 0,546.0,0.212,70.0,252,26,10.32,1.91 (1.27-2.55),226,89.68,4.30 (4.06-4.55),16.20,7.29
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.161,60.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.43,87.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
