tipo_celular,module_size,ASCC2_MM,ASCC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.145,30.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,393.0,0.078,5.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656.0,0.086,11.0,136,8,5.88,1.97 (1.31-2.62),128,94.12,3.27 (3.00-3.55),5.70,4.94
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,64,18.13,2.12 (1.85-2.39),289,81.87,4.40 (4.23-4.58),21.87,5.01
GABA neurons expressing GLU receptors 22,1069.0,0.243,91.0,37,5,13.51,2.06 (1.60-2.51),32,86.49,2.17 (1.65-2.69),2.49,3.20
GLU like neurons 17,1316.0,0.145,68.0,101,4,3.96,4.05 (NA-NA),97,96.04,3.04 (2.69-3.39),3.01,3.06
da like neurons 11,853.0,0.142,58.0,133,38,28.57,1.76 (1.50-2.02),95,71.43,3.98 (3.64-4.33),5.98,3.44
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.133,35.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55),3.37,11.74
astrocytes 8,1266.0,0.082,51.0,66,19,28.79,1.64 (1.17-2.10),47,71.21,4.02 (3.64-4.41),4.30,2.41
oligodendrocyte progenitor cells 12,411.0,0.031,5.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.032,4.0,96,4,4.17,1.80 (1.50-2.11),92,95.83,3.71 (3.25-4.17),6.14,3.70
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.341,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.127,20.0,104,32,30.77,1.92 (1.56-2.29),72,69.23,3.29 (2.96-3.62),9.78,3.45
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.08,8.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51),5.40,7.93
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
